Batch 506/1496, Batch Loss: 0.0081, Batch Accuracy: 1.0000
Batch 507/1496, Batch Loss: 0.0008, Batch Accuracy: 1.0000
Batch 508/1496, Batch Loss: 0.7803, Batch Accuracy: 0.9000
Batch 509/1496, Batch Loss: 0.0221, Batch Accuracy: 1.0000
Batch 510/1496, Batch Loss: 0.0031, Batch Accuracy: 1.0000
Batch 511/1496, Batch Loss: 0.0655, Batch Accuracy: 1.0000
Batch 512/1496, Batch Loss: 0.6099, Batch Accuracy: 0.9000
Batch 513/1496, Batch Loss: 0.0035, Batch Accuracy: 1.0000
Batch 515/1496, Batch Loss: 0.0022, Batch Accuracy: 1.0000
Batch 514/1496, Batch Loss: 0.6931, Batch Accuracy: 0.8000
Batch 516/1496, Batch Loss: 0.5970, Batch Accuracy: 0.9000
Batch 517/1496, Batch Loss: 0.9741, Batch Accuracy: 0.9000
Batch 518/1496, Batch Loss: 0.0024, Batch Accuracy: 1.0000
Batch 519/1496, Batch Loss: 0.0062, Batch Accuracy: 1.0000
Batch 520/1496, Batch Loss: 0.0212, Batch Accuracy: 1.0000
Batch 521/1496, Batch Loss: 0.0104, Batch Accuracy: 1.0000
Batch 522/1496, Batch Loss: 0.0011, Batch Accuracy: 1.0000
Batch 524/1496, Batch Loss: 0.0040, Batch Accuracy: 1.0000
Batch 523/1496, Batch Loss: 0.1927, Batch Accuracy: 0.9000
Batch 527/1496, Batch Loss: 0.9910, Batch Accuracy: 0.8000
Batch 525/1496, Batch Loss: 0.7213, Batch Accuracy: 0.9000
Batch 526/1496, Batch Loss: 0.0036, Batch Accuracy: 1.0000
Batch 528/1496, Batch Loss: 0.1712, Batch Accuracy: 0.9000
Batch 530/1496, Batch Loss: 0.5682, Batch Accuracy: 0.9000
Batch 529/1496, Batch Loss: 0.6474, Batch Accuracy: 0.9000
Batch 531/1496, Batch Loss: 0.0881, Batch Accuracy: 0.9000
Batch 532/1496, Batch Loss: 0.7217, Batch Accuracy: 0.8000
Batch 533/1496, Batch Loss: 0.4390, Batch Accuracy: 0.8000
Batch 536/1496, Batch Loss: 0.0930, Batch Accuracy: 0.9000
Batch 534/1496, Batch Loss: 0.0110, Batch Accuracy: 1.0000
Batch 535/1496, Batch Loss: 0.0589, Batch Accuracy: 1.0000
Batch 538/1496, Batch Loss: 0.3720, Batch Accuracy: 0.9000
Batch 537/1496, Batch Loss: 0.0568, Batch Accuracy: 1.0000
Batch 539/1496, Batch Loss: 0.0013, Batch Accuracy: 1.0000
Batch 540/1496, Batch Loss: 0.0031, Batch Accuracy: 1.0000
Batch 542/1496, Batch Loss: 0.4134, Batch Accuracy: 0.8000
Batch 541/1496, Batch Loss: 0.6534, Batch Accuracy: 0.8000
Batch 543/1496, Batch Loss: 0.0018, Batch Accuracy: 1.0000
Batch 544/1496, Batch Loss: 0.1020, Batch Accuracy: 0.9000
Batch 546/1496, Batch Loss: 0.8442, Batch Accuracy: 0.8000
Batch 545/1496, Batch Loss: 0.0531, Batch Accuracy: 1.0000
Batch 547/1496, Batch Loss: 0.0503, Batch Accuracy: 1.0000
Batch 548/1496, Batch Loss: 0.0303, Batch Accuracy: 1.0000
Batch 549/1496, Batch Loss: 0.0022, Batch Accuracy: 1.0000
Batch 551/1496, Batch Loss: 0.0019, Batch Accuracy: 1.0000
Batch 550/1496, Batch Loss: 0.0008, Batch Accuracy: 1.0000
Batch 552/1496, Batch Loss: 0.0053, Batch Accuracy: 1.0000
Batch 553/1496, Batch Loss: 0.0003, Batch Accuracy: 1.0000
Batch 554/1496, Batch Loss: 0.0022, Batch Accuracy: 1.0000
Batch 556/1496, Batch Loss: 0.0556, Batch Accuracy: 1.0000
Batch 555/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 558/1496, Batch Loss: 2.3467, Batch Accuracy: 0.5000
Batch 557/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 559/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 560/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 561/1496, Batch Loss: 1.3258, Batch Accuracy: 0.8000
Batch 562/1496, Batch Loss: 0.0011, Batch Accuracy: 1.0000
Batch 564/1496, Batch Loss: 0.0013, Batch Accuracy: 1.0000
Batch 563/1496, Batch Loss: 0.9624, Batch Accuracy: 0.8000
Batch 565/1496, Batch Loss: 0.5598, Batch Accuracy: 0.9000
Batch 566/1496, Batch Loss: 0.0165, Batch Accuracy: 1.0000
Batch 567/1496, Batch Loss: 0.4794, Batch Accuracy: 0.9000
Batch 568/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 569/1496, Batch Loss: 0.6079, Batch Accuracy: 0.9000
Batch 571/1496, Batch Loss: 0.0797, Batch Accuracy: 0.9000
Batch 570/1496, Batch Loss: 0.1620, Batch Accuracy: 0.9000
Batch 572/1496, Batch Loss: 1.3292, Batch Accuracy: 0.7000
Batch 573/1496, Batch Loss: 0.0027, Batch Accuracy: 1.0000
Batch 575/1496, Batch Loss: 0.0029, Batch Accuracy: 1.0000
Batch 574/1496, Batch Loss: 0.0047, Batch Accuracy: 1.0000
Batch 576/1496, Batch Loss: 0.0111, Batch Accuracy: 1.0000
Batch 577/1496, Batch Loss: 0.0098, Batch Accuracy: 1.0000
